reaction_id,event_name,sport,event_date,video_title,video_id,video_url,channel_name,channel_id,comment_id,comment_url,comment_text,comment_author,comment_published_at,like_count,reply_count
YT2000235,2026 Green Mountain Championship,Disc Golf,,Final Round Highlights | MPO | 2026 Green Mountain Championship,UoebFpL95VE,https://www.youtube.com/watch?v=UoebFpL95VE,Disc Golf Pro Tour,UCw0WzNn6m2Na6ZW7rKqWI3g,UgyVLGRo4-rdL54QmZp4AaABAg,https://www.youtube.com/watch?v=UoebFpL95VE&lc=UgyVLGRo4-rdL54QmZp4AaABAg,Congrats,@TheCosmicSpirit,2026-09-22T00:00:00Z,0,
YT2000236,Japan vs Iran (2026 AVC Men’s Continental Championship Final),Volleyball,,Japan 🇯🇵 vs. Iran 🇮🇷 - Final | AVC Men's Continental Championships 2026 | Gold Match Highlights,a0iA57_4oCw,https://www.youtube.com/watch?v=a0iA57_4oCw,Volleyball World,UCNMg6XDhRZI2QzL4pWOvP_w,UgwuVilXyd99XNREZjd4AaABAg,https://www.youtube.com/watch?v=a0iA57_4oCw&lc=UgwuVilXyd99XNREZjd4AaABAg,Japon unas bestias!!!!! Y Ran 🔥,@archytekt,2026-09-22T00:00:00Z,2,
YT2000237,All Blacks vs Lions (2026 Rugby),Rugby,,"MINI MATCH | All Blacks v Lions | Johannesburg, 2026",6MbNY6WCctU,https://www.youtube.com/watch?v=6MbNY6WCctU,All Blacks,UCsAPiUMyBjtKamxYGbSUnLA,UgxDoipeeetOMw_Rezl4AaABAg,https://www.youtube.com/watch?v=6MbNY6WCctU&lc=UgxDoipeeetOMw_Rezl4AaABAg,That's the Holy Gra'al. The scaling problem... You need a reliable source of randomness for that :)) Pseudo-randomness may work.... Mum's the word.,@ValentinBrutusBura,2026-09-02T00:00:00Z,0,
YT2000238,Real Madrid vs Inter (2026 UEFA Champions League),Football,,Real Madrid vs. Inter: Extended Highlights | UCL League Phase MD 1 | CBS Sports Golazo,m-Er4N3eVpE,https://www.youtube.com/watch?v=m-Er4N3eVpE,CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,UgwGzwxPYwc1JdLjR5N4AaABAg,https://www.youtube.com/watch?v=m-Er4N3eVpE&lc=UgwGzwxPYwc1JdLjR5N4AaABAg,Inter Milan goalie lookin funny tryna dribble around buddy 😂😂 nah Madrid cooked you.,@GDpro2029,2026-09-18T00:00:00Z,0,
YT2000239,"Afghanistan vs India (2026 T20I Series, Match 2)",Cricket,,Full Match Highlights | Afghanistan vs India | Match 02 | T20I Series 2026 | ACB | M9N1J,svAuradtMZw,https://www.youtube.com/watch?v=svAuradtMZw,Sports Central by DRM,UC-fzWbU1zavz77kP1gPPdSg,UgxMwrohkPpGiTojDCF4AaABAg,https://www.youtube.com/watch?v=svAuradtMZw&lc=UgxMwrohkPpGiTojDCF4AaABAg,You never disappoint.,@Mahinderrawat,2026-09-19T00:00:00Z,0,
YT2000240,Andrey Rublev vs Arthur Fils (2026 Barcelona Final),Tennis,,Andrey Rublev vs Arthur Fils for the Title! 🏆 | Barcelona 2026 Final Highlights,ugTb7lPGgI8,https://www.youtube.com/watch?v=ugTb7lPGgI8,Tennis TV,UCbcxFkd6B9xUU54InHv4Tig,UgzfgCQGu29vIVNxlgx4AaABAg,https://www.youtube.com/watch?v=ugTb7lPGgI8&lc=UgzfgCQGu29vIVNxlgx4AaABAg,Poor Rublev,@BarbaraG-bs8bp,2026-07-23T00:00:00Z,1,
YT2000241,2026 Italian Grand Prix,Formula 1,2026-09-06,Fans React to the 2026 Italian Grand Prix,ah1bbvzWhPE,https://www.youtube.com/watch?v=ah1bbvzWhPE,Kr1s,UCz-llHGeBJB06SA6g-Q_JKA,Ugw9q6QjlqQnnwD94td4AaABAg,https://www.youtube.com/watch?v=ah1bbvzWhPE&lc=Ugw9q6QjlqQnnwD94td4AaABAg,actually very well made reaction compilation video,@Neuronecia,2026-09-13T00:00:00Z,0,
YT2000242,Washington Mystics vs Indiana Fever (2026 WNBA),Basketball,2026-09-20,"Washington Mystics vs. Indiana Fever | FULL GAME HIGHLIGHTS | September 20, 2026",8cV4ZkdKn7g,https://www.youtube.com/watch?v=8cV4ZkdKn7g,WNBA,UCO9a_ryN_l7DIDS-VIt-zmw,UgwVUZwmJCCdyW0D5RJ4AaABAg,https://www.youtube.com/watch?v=8cV4ZkdKn7g&lc=UgwVUZwmJCCdyW0D5RJ4AaABAg,Look at all those empty seats!!,@CujoJones,2026-09-22T13:38:00Z,0,
YT2000243,2026 World Athletics Relays Gaborone,Athletics,,Top 10 Moments from the World Athletics Relays Gaborone 2026,6OeLLKS5EoA,https://www.youtube.com/watch?v=6OeLLKS5EoA,World Athletics,UCQk7fWv15ChjMJLCRVmtApw,UgxnWsso45ouJqQ3MlN4AaABAg,https://www.youtube.com/watch?v=6OeLLKS5EoA&lc=UgxnWsso45ouJqQ3MlN4AaABAg,Wonderful to see from Botswana! What a gorgeous setting - beautiful and love the crowd!,@LeoRen2685,2026-09-12T00:00:00Z,0,
YT2000244,An Se Young vs Akane Yamaguchi (2026 BWF World Championships Final),Badminton,,BWF World Championships 2026 | An Se Young (KOR) [1] vs Akane Yamaguchi (JPN) [2] | F,99riPBazzfk,https://www.youtube.com/watch?v=99riPBazzfk,BWF TV,UChh-akEbUM8_6ghGVnJd6cQ,UgzR43QSwtIZELnWGjF4AaABAg,https://www.youtube.com/watch?v=99riPBazzfk&lc=UgzR43QSwtIZELnWGjF4AaABAg,GOAT 안세영!! 넘 멋있당~,@Lee-수달,2026-09-18T00:00:00Z,1,
